temp,precip,solar_rad
27.43,0.0,10.44
25.82,0.0,10.22
25.44,0.0,10.22
25.22,0.0,9.92
25.61,0.0,10.51
26.28,1.2,12.6
24.18,1.77,7.73
24.37,0.25,11.38
25.02,0.0,8.71
20.97,0.77,12.8
20.94,0.0,15.13
21.53,0.0,14.68
21.87,0.0,13.26
21.04,0.0,13.85
20.82,0.0,13.95
21.06,0.0,14.19
20.9,0.0,11.57
20.0,0.0,10.5
19.8,0.0,10.11
19.92,0.0,11.33
20.13,0.0,12.17
20.45,0.0,12.79
20.89,0.0,11.72
19.63,0.0,10.57
19.92,0.0,9.3
19.18,0.0,8.99
18.49,0.0,7.56
18.5,0.0,10.96
20.04,0.0,10.22
20.59,0.0,10.16
19.01,0.0,10.26
19.29,0.0,12.28
19.28,0.0,12.26
19.48,0.0,12.91
19.69,0.0,13.5
19.4,0.0,13.21
18.22,0.0,13.25
17.51,0.0,12.11
16.96,0.0,12.54
17.09,0.0,12.6
16.01,0.0,11.62
14.03,0.0,12.12
15.36,0.0,9.58
16.13,0.0,7.97
16.73,0.0,11.04
15.54,0.0,9.52
14.59,0.0,10.38
16.03,0.0,11.75
15.78,0.0,12.55
16.79,0.0,13.05
18.14,0.0,12.61
17.33,0.0,5.67
16.47,0.0,10.69
15.85,0.0,9.91
17.48,0.0,11.99
17.2,0.0,10.23
16.94,0.0,11.23
16.86,0.0,12.38
15.65,0.0,3.93
15.1,0.0,7.3
15.93,0.0,3.64
15.07,0.0,3.68
14.11,0.0,4.44
13.98,0.0,4.18
14.67,0.0,6.31
13.88,0.0,3.78
14.03,0.0,4.18
13.72,0.0,5.24
13.07,0.32,3.7
12.73,0.02,7.64
14.16,0.0,5.19
13.94,0.0,5.46
14.44,0.0,7.51
16.21,0.0,4.72
14.85,0.0,8.25
14.71,0.0,5.95
15.46,0.0,5.28
14.96,0.0,8.7
14.22,0.0,9.38
14.85,0.0,8.55
14.43,0.0,5.09
14.53,0.0,9.43
14.92,0.0,4.06
13.48,0.0,4.62
12.64,0.0,5.52
12.4,0.0,3.94
13.52,0.0,8.82
16.36,0.0,12.02
17.17,0.0,10.3
17.53,0.0,11.84
17.38,0.13,8.54
17.95,0.0,10.42
15.1,0.13,13.09
13.73,0.01,11.17
13.83,2.24,4.1
14.37,0.33,15.31
14.21,0.0,14.91
14.68,0.93,15.03
14.49,4.07,14.7
14.91,0.07,17.29
16.01,0.0,17.86
17.19,0.0,17.18
17.36,0.0,17.0
17.15,0.0,10.6
17.8,0.0,16.12
17.92,0.0,17.07
18.42,0.0,17.43
18.88,0.0,17.15
19.31,0.0,15.83
20.59,0.0,11.14
19.85,0.0,13.95
17.13,0.0,16.3
17.17,0.0,17.21
16.68,0.0,18.28
17.01,0.0,17.96
16.61,0.0,19.16
16.28,0.0,16.05
14.49,0.16,11.86
15.72,0.21,14.12
19.59,0.09,19.03
21.48,0.27,9.35
17.26,4.55,7.68
16.14,1.07,6.63
12.95,0.47,20.09
13.7,0.0,19.98
14.48,0.0,16.52
17.17,0.0,19.65
17.27,0.06,19.76
18.7,0.0,20.69
21.45,0.0,21.37
21.1,0.0,13.25
21.76,0.0,14.19
23.1,0.06,20.89
22.63,0.47,19.17
21.65,0.0,20.93
22.16,0.0,23.18
23.32,0.0,22.6
24.24,0.0,19.66
24.96,0.0,21.75
25.58,0.0,22.7
27.51,0.0,18.75
29.29,0.01,17.06
26.64,0.01,20.25
28.19,0.01,17.64
26.66,5.48,19.48
27.64,0.0,22.11
28.08,0.04,14.49
26.78,0.85,15.75
24.01,0.21,6.62
27.0,0.9,19.18
27.15,1.95,17.43
24.02,0.01,23.76
25.42,0.0,24.18
27.3,0.0,24.36
27.68,0.0,22.83
28.61,0.0,21.63
27.74,0.0,23.62
28.67,0.0,25.37
29.65,0.0,25.21
30.68,0.0,25.08
29.48,0.0,23.65
30.41,0.0,22.2
29.93,0.0,22.89
30.34,1.16,17.06
24.97,10.57,6.08
22.6,0.91,8.7
25.43,1.7,15.87
26.42,0.0,22.56
28.1,0.0,17.98
29.67,0.0,23.02
23.25,15.01,18.73
25.69,0.66,25.63
28.16,0.0,26.12
28.62,1.04,24.57
28.02,3.52,26.1
29.83,0.0,25.99
31.47,0.02,24.27
30.07,2.96,19.87
27.7,2.19,24.14
28.5,0.0,24.86
27.48,0.04,24.15
24.93,0.02,22.98
